register_id,name,signin_number,occupation,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,secondary_filters_name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
﻿99400146096,Hotel Ronda Lesseps - HB-004338,HB-004338,112,33509,C Ballester,77,,28,Vallcarca i els Penitents,6,Gràcia,8023,BARCELONA,Hotels 4 estr.,428778.7307,4584483.794,41.40874705,2.1478693
﻿99400213595,Hotel Barceló Raval - HB-004337,HB-004337,372,701367,Rbla Raval,17,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Hotels 4 estr.,430553.6242,4581166.432,41.37902396,2.169483352
﻿99400338323,Hotel Catalonia Square - HB-004596,HB-004596,116,309406,Rda Sant Pere,9,,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Hotels 4 estr.,430715.8254,4582228.145,41.38860046,2.171301534
﻿99400224453,Hotel SB Diagonal Zero - HB-004387,HB-004387,524,701281,Pl Llevant,1,,70,el Besòs i el Maresme,10,Sant Martí,8019,BARCELONA,Hotels 4 estr.,434756.2106,4584766.665,41.41180221,2.219350016
﻿99400225785,Hotel & Spa Villa Olimpic@ Suites - HB-004383,HB-004383,288,242906,C Pallars,121,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8018,BARCELONA,Hotels 4 estr.,432480.556,4583171.176,41.39724415,2.192302061
﻿99400310247,Hotel Ibis Barcelona Plaça Glories 22 - HB-004372,HB-004372,294,148704,C Ciutat de Granada,99,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8018,BARCELONA,Hotels 2 estr.,432655.9812,4583596.666,41.40109113,2.194353049
﻿99400408789,Hotel H10 Cubik - HB-004696,HB-004696,191,177101,Via Laietana,69,,2,el Barri Gòtic,1,Ciutat Vella,8003,BARCELONA,Hotels 4 estr.,430868.8249,4582170.013,41.38809005,2.173137992
﻿99400479833,Hotel Soho House -  HB-004750,HB-004750,114,106205,Pl Duc de Medinaceli,4,,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Hotels 5 estr.,431378.2762,4581097.45,41.3784734,2.179352288
﻿99400479842,Hotel Ibis Styles Barcelona City Bogatell - HB-004742,HB-004742,426,186703,C Llull,71,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8005,BARCELONA,Hotels 2 estr.,432571.1652,4582889.896,41.39471835,2.193417187
﻿75990675216,Hotel HCC Montblanc - HB-004088,HB-004088,307,177101,Via Laietana,61,,2,el Barri Gòtic,1,Ciutat Vella,8003,BARCELONA,Hotels 3 estr.,430904.6526,4582133.285,41.38776234,2.173570664
