Territory,Location type,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
el Raval,Barri,1809.39,2408.51,2466.99,2824.09,3290.68,3088.47,2910.10,2818.79,3175.14,3203.66,3148.48,3534.66
el Barri Gòtic,Barri,2715.61,2749.99,3456.32,3860.89,4483.02,3823.27,4183.06,4432.99,4358.90,3946.86,4434.83,4392.38
la Barceloneta,Barri,3130.85,3021.22,3502.87,4228.47,4510.32,4145.65,3779.24,3851.29,4032.78,4264.59,4580.25,5182.80
"Sant Pere, Santa Caterina i la Ribera",Barri,2566.07,2980.33,3239.15,4053.51,4073.25,3977.47,4344.93,3670.45,4057.40,4212.73,4368.58,4462.17
el Fort Pienc,Barri,2426.46,2766.65,2933.03,3420.88,3782.29,3545.44,3492.44,3718.84,3938.31,3933.92,4253.40,4810.16
la Sagrada Família,Barri,2242.02,2581.22,2995.36,3518.97,3658.04,3551.40,3460.39,3607.28,3835.98,4125.33,4566.29,4784.95
la Dreta de l'Eixample,Barri,3325.70,3622.76,4229.16,4738.08,5137.60,4994.22,5253.03,4784.89,5506.90,5522.94,5888.20,6201.08
l'Antiga Esquerra de l'Eixample,Barri,2873.78,3203.90,3688.83,4189.93,4265.92,4153.56,4449.63,4360.40,4634.35,4887.56,5228.42,5846.59
la Nova Esquerra de l'Eixample,Barri,2625.19,2877.24,3171.74,3592.73,3951.26,3872.97,3775.74,3864.30,4127.29,4295.24,4509.38,5210.98
Sant Antoni,Barri,2404.33,2623.38,2985.53,3553.28,3881.45,4022.13,3576.55,3787.99,4153.51,4269.36,4278.63,4602.31
el Poble Sec - AEI Parc de Montjuïc,Barri,1753.90,2160.25,2587.60,3272.06,3501.62,3579.51,3331.30,3273.84,3496.13,3663.73,3911.93,4025.11
la Marina del Prat Vermell - AEI Zona Franca,Barri,557.33,1436.33,1100,1465.40,1214,943.43,1407.43,1081.33,1143.33,-,2619.19,2724.27
la Marina de Port,Barri,1518.02,2046.25,1982.96,2112.23,2388.17,2639.68,2279.47,2490.59,2345.74,2680.39,2640.59,2931.48
la Font de la Guatlla,Barri,2028.79,2218.51,2247.74,2854.11,2977.27,3160.90,3245,3448.01,3218.76,3170.34,3467.24,4014.42
Hostafrancs,Barri,1956.09,2262.48,2229.53,2740.51,3256.35,3053.97,3349.18,3352.76,3399.71,3159.78,3761.80,4109.73
la Bordeta,Barri,1794.01,2175.22,2054.92,2585.38,3048.29,3193.01,2983.34,3047.22,3019.47,3162.24,3329.91,3854.70
Sants - Badal,Barri,1953.81,2079.78,2401.72,2692.30,2991.05,2951.02,3117.09,3018.24,3242.97,3407.35,3490.02,3934.60
Sants,Barri,2115.02,2349.03,2512.32,3077.75,3417.85,3165.68,3366.71,3312.96,3609.65,3650.88,3805.05,4303.27
les Corts,Barri,2846.48,2913.00,3449.65,3852.36,4203.22,3970.28,4140.62,4061.50,4248.98,4283.40,4724.97,5155.04
la Maternitat i Sant Ramon,Barri,2560.53,2952.62,2894.44,3329.56,3819.74,3412.72,3579.33,3516.43,3722.27,3846.57,4218.51,4392.49
Pedralbes,Barri,3914.31,3892.90,3348.79,4883.20,5106.93,4936.77,5112.98,4786.75,4532.31,4898.13,5168.15,6078.79
"Vallvidrera, el Tibidabo i les Planes",Barri,2160.21,-,3496,2686.40,3447.89,2885.10,3260.14,2712.53,2949.40,2804.11,4594.50,3765.60
Sarrià,Barri,3450.44,3785.28,4010.27,4823.38,5240.45,4860.73,4964.38,4814.56,5305.49,5591.32,5975.88,6269.41
les Tres Torres,Barri,3569.28,4049.57,4292.17,4644.35,4944.78,4627.67,4258.73,4489.77,5017.07,5336.44,5348.25,5728.66
Sant Gervasi - la Bonanova,Barri,3126.69,3501.57,3518.41,4253.12,4724.87,4650.19,4241.03,4368,4511.05,5100.11,5281.76,5440.33
Sant Gervasi - Galvany,Barri,3075.08,3604.17,4011.49,4463.13,4857.82,4571.69,4642.24,4845.78,5000.99,5265.92,5160.27,5954.28
el Putxet i el Farró,Barri,2630.58,2867.40,3057.24,3860.43,4261.63,4000.22,3730.63,4166.80,4364.77,4179.08,4630.43,4793.39
Vallcarca i els Penitents,Barri,2267.56,2539.28,2815.87,3031.77,3274.55,3474,3428.57,3449.74,3505.28,3579.48,4039.99,4160.47
el Coll,Barri,1788.03,2021.80,1975.10,2207.14,2608.24,2686.73,3066.07,2546.63,3217.79,2777.86,2922.93,3558.37
la Salut,Barri,2246.23,2543.46,2718.75,3293.11,3366.56,3487.57,3268.30,3555.49,3667.54,3478.51,4054.11,4484.24
la Vila de Gràcia,Barri,2479.48,2615.30,3178.85,3757.83,4038.73,4063.58,3950.37,3924.24,4352.03,4574.54,4691.65,5076.97
