N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
01-2009-0354,01,CIUTAT VELLA,01,el Raval,Carrer,SANT JOSEP ORIOL,1,19,,,,,,,01,1,HUTB-002222,3,"217,017,206,787,341","413,784,454,355,655"
01-2011-0123,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,1,,HUTB-003654,3,"218,200,417,667,745","413,828,840,594,187"
01-2011-0137,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,01,2,HUTB-001678,3,"217,308,601,359,367","413,822,240,718,426"
01-2011-0152,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,2,,HUTB-003650,3,"218,200,417,667,745","413,828,840,594,187"
01-2011-0157,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Plaça,OLLES,1,9,B,,,,,,01,2,HUTB-002534,9,"218,330,533,470,055","413,836,849,458,057"
01-2011-0160,01,CIUTAT VELLA,01,el Raval,Carrer,JOVELLANOS,1,1,,,,,,,PR,2,HUTB-000935,8,"216,791,052,480,686","41,385,019,815,186"
01-2011-0170,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,02,2,HUTB-001679,3,"217,308,601,359,367","413,822,240,718,426"
01-2011-0171,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,03,2,HUTB-001681,3,"217,308,601,359,367","413,822,240,718,426"
01-2011-0172,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,04,2,HUTB-001685,3,"217,308,601,359,367","413,822,240,718,426"
01-2011-0173,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,05,2,HUTB-001686,3,"217,308,601,359,367","413,822,240,718,426"
01-2011-0192,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,05,,HUTB-013223,4,"217,883,430,924,802","413,848,227,965,769"
01-2011-0193,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,01,1,HUTB-002459,5,"217,367,913,693,235","413,784,423,179,871"
01-2011-0194,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,01,2,HUTB-002460,6,"217,367,913,693,235","413,784,423,179,871"
01-2011-0195,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,02,1,HUTB-002461,5,"217,367,913,693,235","413,784,423,179,871"
01-2011-0196,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,02,2,HUTB-002462,6,"217,367,913,693,235","413,784,423,179,871"
01-2011-0197,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,03,1,HUTB-002463,5,"217,367,913,693,235","413,784,423,179,871"
01-2011-0198,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,03,2,HUTB-002464,6,"217,367,913,693,235","413,784,423,179,871"
01-2011-0199,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,04,1,HUTB-002465,5,"217,367,913,693,235","413,784,423,179,871"
01-2011-0200,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,04,2,HUTB-002466,6,"217,367,913,693,235","413,784,423,179,871"
01-2011-0201,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,05,1,HUTB-002467,5,"217,367,913,693,235","413,784,423,179,871"
01-2011-0202,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,05,2,HUTB-002468,6,"217,367,913,693,235","413,784,423,179,871"
01-2011-0254,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,BJ,,HUTB-002228,6,"218,874,739,928,066","413,787,961,823,306"
01-2011-0255,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,1,,HUTB-002237,6,"218,874,739,928,066","413,787,961,823,306"
01-2011-0256,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,2,,HUTB-002226,6,"218,874,739,928,066","413,787,961,823,306"
01-2011-0257,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,3,,HUTB-002227,6,"218,874,739,928,066","413,787,961,823,306"
01-2011-0409,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,AVINYO,2,58,,,,,,,PR,3B,HUTB-013215,10,"21,792,879,921,103","413,801,857,821,536"
01-2011-0546,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,AT,,HUTB-000909,5,"216,471,120,314,601","413,834,719,060,871"
01-2011-0547,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,03,,HUTB-000911,8,"216,471,120,314,601","413,834,719,060,871"
01-2012-0158,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,RELLOTGE,2,2,,,,,,,EN,1,HUTB-001632,11,"217,719,765,198,566","41,380,064,394,068"
01-2012-0164,01,CIUTAT VELLA,01,el Raval,Carrer,HOSPITAL,1,133,,,,,,,PR,2,HUTB-000727,12,"216,747,917,213,483","413,795,569,595,001"
01-2012-0166,01,CIUTAT VELLA,01,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,3,HUTB-002124,2,"216,469,317,300,152","413,785,856,107,149"
01-2012-0167,01,CIUTAT VELLA,01,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,4,HUTB-002125,3,"216,469,317,300,152","413,785,856,107,149"
01-2012-0185,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,1,HUTB-013111,3,"217,449,943,206,438","413,806,515,630,941"
01-2012-0186,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,2,HUTB-013112,4,"217,449,943,206,438","413,806,515,630,941"
01-2012-0187,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,01,3,HUTB-013113,5,"217,449,943,206,438","413,806,515,630,941"
01-2012-0188,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,02,1,HUTB-013114,6,"217,449,943,206,438","413,806,515,630,941"
01-2012-0189,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,02,2,HUTB-013115,4,"217,449,943,206,438","413,806,515,630,941"
01-2012-0190,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,02,3,HUTB-013116,5,"217,449,943,206,438","413,806,515,630,941"
01-2012-0191,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,1,HUTB-013117,6,"217,449,943,206,438","413,806,515,630,941"
01-2012-0192,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,2,HUTB-014595,4,"217,449,943,206,438","413,806,515,630,941"
01-2012-0193,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,03,3,HUTB-013119,5,"217,449,943,206,438","413,806,515,630,941"
01-2012-0203,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,PORTAL NOU,1,35,,,,,,,03,2,HUTB-002786,3,"218,075,205,279,705","413,890,801,947,205"
01-2012-0209,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,EN,2,HUTB-003352,5,"21,740,360,911,743","413,869,374,396,681"
01-2012-0210,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,1,HUTB-003353,2,"21,740,360,911,743","413,869,374,396,681"
01-2012-0211,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,2,HUTB-003354,5,"21,740,360,911,743","413,869,374,396,681"
01-2012-0212,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,01,1,HUTB-003348,2,"21,740,360,911,743","413,869,374,396,681"
01-2012-0213,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,02,1,HUTB-003349,2,"21,740,360,911,743","413,869,374,396,681"
01-2012-0214,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,02,2,HUTB-003350,2,"21,740,360,911,743","413,869,374,396,681"
01-2012-0317,01,CIUTAT VELLA,02,el Barri Gòtic,Passeig,COLOM,2,2,,,,,,,04,B,HUTB-003340,4,"218,139,300,191,678","41,380,913,704,225"
01-2012-0440,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,01,1,HUTB-001506,9,"217,623,422,219,989","413,797,817,626,377"
01-2012-0441,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,02,,HUTB-013139,4,"217,220,376,488,025","413,791,536,577,735"
01-2012-0442,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,01,,HUTB-013138,4,"217,220,376,488,025","413,791,536,577,735"
01-2012-0443,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,PR,,HUTB-013137,4,"217,220,376,488,025","413,791,536,577,735"
01-2012-0446,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,VOLTA D'EN COLOMINES,1,3,,,,,,,01,,HUTB-013147,4,"217,914,131,398,488","413,845,668,496,808"
01-2012-0450,01,CIUTAT VELLA,01,el Raval,Carrer,TIGRE,2,4,,,,,,,02,1,HUTB-001174,6,"216,496,154,223,015","413,828,776,507,513"
01-2012-0464,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESQUIROL,2,4,,,,,,,02,2,HUTB-000139,3,"217,972,443,785,532","413,843,507,382,699"
01-2012-0465,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,6,,,,,,,01,1,HUTB-002445,7,"217,432,038,986,819","413,792,323,592,535"
01-2012-0468,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,FLOR,1,5,,,,,,,02,2,HUTB-000191,7,"217,276,427,287,011","413,851,496,345,785"
01-2012-0469,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,CONSOLAT DE MAR,1,15,,,,,,,01,2,HUTB-003501,7,"218,189,686,726,965","413,821,441,573,354"
01-2012-0486,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,2,8,,,,,,,03,3,HUTB-001628,7,"217,527,411,799,697","413,804,661,676,554"
01-2012-0492,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESPASERIA,1,7,,,,,,,1,,HUTB-012817,2,"218,233,849,427,832","413,833,235,525,156"
01-2012-0513,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,MONTANYANS,2,6,,8,,,,,04,1,HUTB-002370,3,"218,012,304,681,155","413,873,806,088,343"
01-2012-0514,01,CIUTAT VELLA,01,el Raval,Plaça,EMILI VENDRELL,1,1,,,,,,,03,1,HUTB-003091,2,"216,685,073,094,614","413,812,437,530,549"
01-2012-0516,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,31,,,,,,,04,2,HUTB-002481,4,"217,312,865,291,471","413,779,148,642,194"
01-2012-0522,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,BOT,1,11,,,,,,,03,2,HUTB-004062,3,"217,214,268,332,247","413,839,472,726,715"
01-2012-0523,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PESCADORS,1,85,,,,,,,03,2,HUTB-002716,3,"218,997,292,001,453","413,761,773,910,849"
01-2012-0524,01,CIUTAT VELLA,04,"Sant Pere, Santa Caterina i la Ribera",Carrer,TRAFALGAR,2,70,,,,,,,04,C,HUTB-001218,9,"217,885,098,924,054","413,905,616,108,028"
01-2012-0537,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,03,,HUTB-013140,4,"217,220,376,488,025","413,791,536,577,735"
