Neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
el Raval,47490,47150,47196,47901,47514,48210,48180,48688,46520,45671,46934,49917
el Barri Gòtic,15735,15514,15729,16240,17035,19180,21715,22850,22748,24460,27222,27878
la Barceloneta,15107,15037,15068,15101,14893,15173,15112,15125,14342,14274,14526,14749
"Sant Pere, Santa Caterina i la Ribera",22368,22468,22380,22923,22605,23170,23241,23009,22418,22041,22473,22767
el Fort Pienc,31489,31548,31693,32137,32170,32738,33473,33445,33445,34403,36119,36621
la Sagrada Família,51283,51094,51354,51658,51661,51917,52252,52164,51402,51712,52825,53555
la Dreta de l'Eixample,43343,43558,43692,44224,43853,44189,44298,44088,44156,44105,44887,45667
l'Antiga Esquerra de l'Eixample,41728,41662,41895,42444,42534,43039,43143,43046,42365,42751,43808,44021
la Nova Esquerra de l'Eixample,57625,57664,57699,58337,58265,58668,58648,57906,57314,57584,58299,59122
Sant Antoni,38096,38031,38235,38470,38356,38622,38958,38700,38175,38269,38698,39223
el Poble-sec,40287,40222,40129,40385,39801,40440,40188,40204,39143,38778,39177,40300
la Marina del Prat Vermell,1143,1122,1146,1151,1161,1199,1227,1356,1517,1678,1977,2876
la Marina de Port,30051,30237,30397,30622,30751,31087,31352,31092,30428,30437,30960,31647
la Font de la Guatlla,10310,10371,10316,10422,10307,10373,10377,10239,10359,10499,10699,10860
Hostafrancs,15671,15758,15915,15949,15969,16155,16203,16102,15859,15969,16192,16798
la Bordeta,18397,18384,18518,18561,18833,19443,19567,19451,19227,19728,20392,21242
Sants - Badal,24125,24016,23935,24047,24018,24474,24938,24903,24208,24366,24931,25338
Sants,40849,40703,40831,41244,41370,42310,43763,43679,43029,44508,47063,47239
les Corts,45989,46003,45976,46104,46152,46599,46731,45943,45660,45965,46740,47057
la Maternitat i Sant Ramon,23554,23810,23868,23980,23984,23992,23968,23825,23684,24059,24313,24687
Pedralbes,11653,11716,11864,12117,12046,12000,11936,11808,11730,12130,12498,12649
"Vallvidrera, el Tibidabo i les Planes",4516,4604,4641,4689,4710,4727,4710,4760,4805,4831,4901,4962
Sarrià,24531,24640,24810,25106,25116,25137,25242,24769,24632,24858,25113,25282
les Tres Torres,16165,16501,16486,16699,16713,16695,16644,16356,16108,16276,16393,16376
Sant Gervasi - la Bonanova,25273,25368,25761,25909,25889,26108,26245,25984,25692,26135,26750,26836
Sant Gervasi - Galvany,46461,46711,47156,47816,47819,47993,47976,47346,47181,47674,48398,49461
el Putxet i el Farró,28827,29024,29318,29515,29590,29786,30340,29986,29783,30030,30335,30756
Vallcarca i els Penitents,15442,15520,15629,15821,15985,16109,16348,16325,16082,16330,16678,16919
el Coll,7201,7351,7391,7428,7460,7518,7617,7688,7611,7740,7943,8091
la Salut,13159,13220,13123,13207,13260,13431,13478,13455,13337,13491,13679,14017
la Vila de Gràcia,50440,50441,50670,50885,50421,50803,50926,50456,49852,50048,51075,51833
el Camp d'en Grassot i Gràcia Nova,34041,33913,34275,34431,34663,35199,35483,35352,35033,35319,36412,36743
el Baix Guinardó,25536,25474,25563,25734,25793,25990,26180,25842,25591,25719,26280,26536
Can Baró,8860,8824,8969,9020,9071,9247,9331,9320,9271,9421,9525,9672
el Guinardó,35539,35784,36176,36538,36890,37216,37584,37325,36994,37575,38153,39061
la Font d'en Fargues,9437,9399,9402,9390,9446,9506,9544,9505,9527,9709,9837,9952
el Carmel,31655,31449,31377,31583,31832,32175,32512,32724,32119,32512,33037,33694
la Teixonera,11435,11360,11281,11634,11650,11789,11927,12044,11918,12087,12433,12605
Sant Genís dels Agudells,6854,6721,6695,6828,7011,7246,7390,7385,7262,7385,7766,7826
Montbau,5045,5041,5053,5108,5099,5126,5172,5114,5014,5174,5286,5343
la Vall d'Hebron,5490,5467,5687,5792,5737,5803,5886,5932,5869,5874,5889,5990
la Clota,521,542,590,611,657,686,709,698,669,699,841,1071
Horta,26552,26469,26597,26743,26867,27482,28363,28055,27875,29395,31091,31259
Vilapicina i la Torre Llobeta,25332,25444,25522,25618,25675,25895,26083,25875,25667,25919,26293,26547
Porta,24336,24299,24567,25046,25568,26557,27813,27796,27397,28978,31329,31363
el Turó de la Peira,15350,15328,15334,15466,15575,15783,16229,16186,16025,16295,16820,17456
Can Peguera,2261,2275,2255,2273,2270,2289,2274,2215,2187,2170,2180,2170
la Guineueta,15057,15097,15050,15247,15293,15398,15420,15267,15056,15265,15373,15656
Canyelles,6980,6952,6925,6863,6885,6884,6869,6813,6787,6786,6797,6817
les Roquetes,15565,15400,15410,15631,15764,16229,16394,16563,16156,16523,16941,17321
Verdun,12120,12226,12261,12368,12445,12578,12798,12865,12558,12774,13194,13511
la Prosperitat,26084,25974,26184,26415,26572,26855,27026,26868,26346,26664,27291,27922
la Trinitat Nova,7390,7335,7259,7271,7365,7620,7669,7628,7421,7624,7726,7965
Torre Baró,2555,2734,2795,2859,2893,2931,2925,2923,2908,2939,3119,3224
Ciutat Meridiana,10174,10239,10055,10369,10622,10864,11091,11152,10808,10857,11090,11351
Vallbona,1310,1334,1354,1379,1400,1407,1421,1401,1420,1421,1437,1452
la Trinitat Vella,10247,10068,10048,10006,10071,10337,10487,10513,10358,10286,10661,11160
Baró de Viver,2479,2482,2511,2539,2535,2604,2625,2653,2603,2582,2612,2678
el Bon Pastor,12676,12560,12594,12582,12740,13126,13652,13730,13553,14434,15798,15918
Sant Andreu,56263,56491,56695,57223,57662,57961,58508,58225,57605,57902,58651,58988
la Sagrera,28671,28899,28804,29127,29290,29489,29608,29568,29441,29908,30392,30965
el Congrés i els Indians,13923,14046,14051,14141,14196,14557,14726,14549,14319,14623,14945,15175
Navas,21739,21966,22097,22171,22159,22279,22457,22299,21947,22064,22411,22790
el Camp de l'Arpa del Clot,37796,38168,38130,38247,38327,38912,39136,38838,38207,38343,39060,39804
el Clot,27035,26932,26928,27089,27050,27183,27082,26759,26380,26470,26767,27103
el Parc i la Llacuna del Poblenou,14617,14713,14859,15202,15425,15713,15943,15914,15961,16413,17039,17603
la Vila Olímpica del Poblenou,9367,9331,9346,9404,9312,9348,9385,9395,9376,9338,9366,9345
el Poblenou,33019,33437,33623,33933,33986,34170,34436,34411,34103,34151,34563,34818
Diagonal Mar i el Front Marítim del Poblenou,13168,13374,13416,13670,13644,13625,13526,13536,13391,13453,13494,13691
el Besòs i el Maresme,22840,22844,22783,23063,23721,24847,25705,26116,26349,27892,30485,30724
Provençals del Poblenou,20098,20163,20381,20519,20628,21116,21319,21185,21092,21273,21512,21902
Sant Martí de Provençals,25917,25971,26031,26187,26092,26168,26168,26229,25852,26169,26575,26976
